Site,Type,Classification,Date,Time,Duration,Depth,Visibility,Weather,Current,Boats,Researcher,Parrotfish,Rabbitfish,Butterflyfish,Angelfish,Cleaner_Wrasse,Batfish,Thicklip,Red_Breast,Slingjaw,Sweetlips,Squirrel/Soldier,Triggerfish,Porcupine/Puffer,Ray,Snapper<30,Snapper>30,Eel,Trevally,Emperorfish,Grouper<30,Grouper>30,Barracuda,Total_abundance_N,
Green Rock,Natural,Fringing,06-01-2020,14:00,30,10,12,1,None,1,GlobalReef,47.0,40.0,83.0,2.0,16.0,0.0,9.0,20.0,6.0,0.0,43.0,3.0,0.0,0.0,100.0,0.0,0.0,2.0,7.0,30.0,8.0,0.0,416.0,
Green Rock,Natural,Fringing,07-01-2020,14:00,30,10,12,3,None,1,GlobalReef,91.4,38.8,77.9,5.7,14.0,0.0,10.3,14.9,5.6,1.3,15.9,2.6,0.0,0.0,155.0,0.1,0.4,2.7,6.7,38.0,4.3,0.0,485.5,
Green Rock,Natural,Fringing,08-01-2020,14:00,30,10,18,3,None,1,GlobalReef,106.5,33.5,107.0,7.0,15.0,0.0,19.5,30.0,10.5,1.5,12.0,1.5,0.0,0.0,98.3,1.5,0.0,1.5,8.0,64.0,4.0,0.0,521.3,
Green Rock,Natural,Fringing,09-01-2020,12:00,30,10,7,3,None,1,GlobalReef,84.0,21.0,86.0,1.5,12.0,0.0,11.5,19.0,5.0,1.0,25.5,0.5,0.0,0.0,60.0,0.0,0.0,4.5,5.0,47.0,3.5,0.0,387.0,
Green Rock,Natural,Fringing,10-01-2020,14:00,30,10,18,3,None,1,GlobalReef,67.0,42.0,96.0,1.5,10.5,0.0,9.5,18.0,7.0,1.5,34.0,1.0,0.0,0.0,28.5,0.0,0.0,1.5,3.0,43.0,2.5,20.0,386.5,
Green Rock,Natural,Fringing,01-01-2021,10:00,30,10,18,3,None,1,GlobalReef,132.3,53.0,130.7,3.0,19.3,0.0,10.7,11.0,4.0,2.0,12.3,1.3,0.0,0.0,107.0,1.3,0.0,1.3,6.0,49.0,6.7,26.7,577.7,
Green Rock,Natural,Fringing,10-01-2021,10:00,28,10,18,2,None,1,GlobalReef,86.5,59.5,54.0,3.5,15.0,0.0,10.0,16.0,9.0,1.0,1.0,3.5,0.0,0.0,139.0,0.5,0.0,2.0,10.0,40.0,5.5,22.5,478.5,
Green Rock,Natural,Fringing,10-01-2022,10:00,28,10,7,2,None,1,GlobalReef,75.0,66.5,68.5,2.0,12.5,0.0,6.0,6.5,3.0,0.0,13.0,0.5,0.0,0.0,23.0,1.0,0.0,2.0,2.5,41.0,1.0,45.0,369.0,
Green Rock,Natural,Fringing,04-01-2023,9:00,26,10,12,1,None,2,GlobalReef,83.0,83.0,42.0,2.0,15.0,1.0,10.0,20.0,5.5,0.5,6.0,8.5,0.0,0.0,96.0,0.5,0.0,3.0,10.5,47.5,6.0,0.5,440.5,
Green Rock,Natural,Fringing,06-01-2023,8:00,25,12,12,1,None,0,GlobalReef,50.5,20.5,37.5,5.0,10.5,0.0,7.5,8.5,4.5,0.0,0.5,2.0,0.0,0.0,92.5,1.0,0.0,0.0,5.5,35.0,2.0,0.0,283.0,
