"Site","Type","Classification","Date","Time","Duration","Depth","Visibility","Weather","Current","Boats","Researcher","total_N","Species","Count","Functional_Group","survey_id"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Parrotfish",13,"Herbivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Rabbitfish",70,"Herbivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Butterflyfish",12,"Herbivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Angelfish",2,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Cleaner_Wrasse",2,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Batfish",1,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Thicklip",0,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Red_Breast",1,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Slingjaw",0,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Sweetlips",39,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Squirrel.Soldier",0,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Triggerfish",1,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Brown_Stripe_Snapper",3,"Mesopredator","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Russels_Snapper",4,"Mesopredator","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"lrg_Snapper",1,"HTLP","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Trevally",2,"HTLP","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"Emperorfish",2,"Mesopredator","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"sml_Grouper",21,"Mesopredator","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,19,15,NA,"None",0,"GlobalReef",144.52,"lrg_Grouper",4,"HTLP","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"Parrotfish",14,"Herbivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"Rabbitfish",82,"Herbivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"Butterflyfish",16,"Herbivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"Angelfish",1,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"Cleaner_Wrasse",3,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"Batfish",1,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"Thicklip",1,"Invertivore","Aow Mao Wreck_2023-05-01"
