"Functional_Group","Classification","Intercept","Effect","Predicted_Log","Predicted"
"Herbivore","Shipwreck",4.77185875731122,0,4.77185875731122,118.138629044306
"Herbivore","Fringing",4.77185875731122,0.438811005509818,5.21066976282104,183.21672886219
"Herbivore","Pinnacle",4.77185875731122,0.629986997021277,5.4018457543325,221.815455432976
"Invertivore","Shipwreck",4.37055796531738,0,4.37055796531738,79.087747611042
"Invertivore","Fringing",4.37055796531738,-0.0161130795494866,4.35444488576789,77.8236123490562
"Invertivore","Pinnacle",4.37055796531738,0.510675578808427,4.8812335441258,131.79313630589
"Mesopredator","Shipwreck",5.20310741946341,0,5.20310741946341,181.836406862393
"Mesopredator","Fringing",5.20310741946341,-0.536382303140432,4.66672511632298,106.34889127265
"Mesopredator","Pinnacle",5.20310741946341,0.401259779959479,5.60436719942289,271.60999607928
"HTLP","Shipwreck",3.90351255419402,0,3.90351255419402,49.5762830070999
"HTLP","Fringing",3.90351255419402,-0.9893772683171,2.91413528587692,18.4328663494905
"HTLP","Pinnacle",3.90351255419402,0.175426162990608,4.07893871718463,59.0827330757421
