"Parameter","Pr_gt_0","Pr_lt_0","Median","CI_lower","CI_upper"
"angelfish_ClassificationFringing",0.999916666666667,8.33333333333333e-05,0.619391,0.284439,0.95381415
"angelfish_ClassificationPinnacle",1,0,1.155375,0.90219585,1.41338025
"batfish_ClassificationFringing",0.978666666666667,0.0213333333333333,1.00759,0.0335462925,2.010347
"batfish_ClassificationPinnacle",1,0,2.52419,1.73854075,3.29082875
"brownstripesnapper_ClassificationFringing",0.625583333333333,0.374416666666667,0.124577,-0.6291335,0.9257896
"brownstripesnapper_ClassificationPinnacle",0.758416666666667,0.241583333333333,0.217417,-0.4067188,0.792636875
"butterflyfish_ClassificationFringing",1,0,1.168675,0.952018625,1.39120525
"butterflyfish_ClassificationPinnacle",1,0,0.876568,0.70779885,1.04542725
"cleanerwrasse_ClassificationFringing",1,0,1.91833,1.532094,2.297545
"cleanerwrasse_ClassificationPinnacle",1,0,2.03209,1.718246,2.3435115
"emperorfish_ClassificationFringing",0.88025,0.11975,0.274326,-0.181475675,0.7406761
"emperorfish_ClassificationPinnacle",1,0,1.03281,0.676618875,1.380622
"lrggrouper_ClassificationFringing",0.000916666666666667,0.999083333333333,-0.539687,-0.870373525,-0.19476695
"lrggrouper_ClassificationPinnacle",0.9505,0.0495,0.213989,-0.0390121,0.47154605
"lrgsnapper_ClassificationFringing",0,1,-2.489095,-3.01678225,-1.9570285
"lrgsnapper_ClassificationPinnacle",0,1,-0.8327365,-1.21353425,-0.4670951
"parrotfish_ClassificationFringing",1,0,1.42891,1.19158825,1.66984075
"parrotfish_ClassificationPinnacle",1,0,0.660364,0.4711602,0.8478293
"rabbitfish_ClassificationFringing",0.571833333333333,0.428166666666667,0.0299745,-0.276372425,0.33339405
"rabbitfish_ClassificationPinnacle",0.999916666666667,8.33333333333333e-05,0.480481,0.2437057,0.7184221
"redbreast_ClassificationFringing",1,0,1.10124,0.733761,1.481311
"redbreast_ClassificationPinnacle",0.877916666666667,0.122083333333333,0.1803065,-0.1227109,0.47868095
"russelssnapper_ClassificationFringing",0,1,-2.322425,-3.1041275,-1.485169
"russelssnapper_ClassificationPinnacle",0.40075,0.59925,-0.07625615,-0.69446745,0.510466125
"slingjaw_ClassificationFringing",1,0,2.74992,2.0735455,3.4641205
"slingjaw_ClassificationPinnacle",0.999416666666667,0.000583333333333333,1.04522,0.424130775,1.6917515
"smlgrouper_ClassificationFringing",1,0,1.680535,1.4161295,1.94828825
"smlgrouper_ClassificationPinnacle",1,0,1.92743,1.72080675,2.132002
"squirrelsoldier_ClassificationFringing",0.0704166666666667,0.929583333333333,-0.597069,-1.36566375,0.209820425
"squirrelsoldier_ClassificationPinnacle",0.986166666666667,0.0138333333333333,0.681522,0.0778053625,1.251596
"sweetlips_ClassificationFringing",0.100166666666667,0.899833333333333,-0.244273,-0.5919486,0.127343375
"sweetlips_ClassificationPinnacle",0.004,0.996,-0.3788095,-0.6527884,-0.102903775
"thicklip_ClassificationFringing",1,0,3.94335,3.12480275,4.871389
"thicklip_ClassificationPinnacle",1,0,2.910035,2.13990275,3.80591525
"trevally_ClassificationFringing",0.00233333333333333,0.997666666666667,-0.638761,-1.0735025,-0.19164335
"trevally_ClassificationPinnacle",1,0,0.994531,0.658038575,1.31494325
"triggerfish_ClassificationFringing",1,0,1.28729,0.90164495,1.680943
"triggerfish_ClassificationPinnacle",0.97625,0.02375,0.3490895,0.0030787125,0.6969241
